year,spei,imd,dust,sm
1982,-0.11226075,-0.71685064,-0.020614758,-0.016622882
1983,0.29763594,0.52997434,-0.032370258,0.047079522
1984,-0.20249233,-0.08571554,0.011534833,-0.01448791
1985,0.0739204,-0.06276488,0.0058854925,0.0077088336
1986,-0.10071015,-0.4565532,-0.0004549413,-0.021031775
1987,-0.4966065,-0.79227656,0.0021947073,-0.06970994
1988,0.09128972,0.30746645,-0.023979131,0.0035418863
1989,-0.13816074,-0.30759415,-0.011324657,-0.00912676
1990,0.17147675,0.62189406,-0.006787314,0.041059494
1991,-0.11964753,-0.39630598,-0.014513145,-0.039940774
1992,-0.121667944,-0.22314045,-0.03345088,-0.029954033
1993,-0.22276284,-0.053970587,-0.028592968,-0.018771386
1994,0.17044835,0.94599193,-0.017003687,0.027452726
1995,0.018234683,-0.16902797,-0.015932601,0.0028560283
1996,0.011949152,-0.1329046,-0.02472299,0.02258471
1997,0.16463192,-0.009903899,-0.013953258,0.011258307
1998,0.28885555,0.12117303,-0.023877962,0.035640378
1999,-0.06325788,-0.031773042,-0.017755767,-0.008771442
2000,-0.36484003,-0.7062505,0.021002766,-0.032300707
2001,-0.22721705,0.06828304,0.013843543,-0.006097663
2002,-0.42937672,-1.2067611,0.047552876,-0.080113016
2003,-0.12219982,0.4061689,0.008281788,0.006793078
2004,-0.0835976,-0.5597282,0.028246764,-0.0076384237
2005,-0.19253412,0.3807533,0.00747919,0.0107352
2006,0.057146806,0.43854213,0.0060724765,0.0273714
2007,-0.15669066,0.5900641,-0.009988859,-0.0072645014
2008,0.01732742,0.13026997,0.036780078,0.003093545
2009,-0.28048402,-0.7776927,0.009323995,-0.038137283
2010,0.34480932,0.26562634,-0.015969742,0.024928533
2011,-0.016167186,0.49384502,0.015443944,0.01689502
2012,-0.09276195,-0.09395031,0.022527488,-0.035790063
2013,0.42394522,0.84906113,-0.003385563,0.042323604
2014,-0.39526755,-0.64319855,0.02435458,-0.051227592
